,review,label,count,review_nostop,nostop_count
241,the phone was unusable and was not new,0,8,phone unusable new,3
242,worst customer service ever,0,4,worst customer service ever,4
243,no additional ear gels provided and no instructions whatsoever,0,9,additional ear gels provided instructions whatsoever,6
244,it defeats the purpose of a bluetooth headset,0,8,defeats purpose bluetooth headset,4
245,worth every penny,1,3,worth every penny,3
246,excellent wallet type phone case,1,5,excellent wallet type phone case,5
247,nice headphones for the price and they work great,1,9,nice headphones price work great,5
248,internet is excrutiatingly slow,0,4,internet excrutiatingly slow,3
249,it is very comfortable to wear as well which is probably the most important aspect about using a case,1,19,comfortable wear well probably important aspect using case,8
250,its fits like a glove and is strong secure and durable,1,11,fits like glove strong secure durable,6
251,o my gosh the best phone i have ever had,1,10,gosh best phone ever,4
252,its very attractive and appears to be of good quality,1,10,attractive appears good quality,4
253,i love all the features and form factor,1,8,love features form factor,4
254,this product had a strong rubberpetroleum smell that was unbearable after a while and caused me to return it,0,19,product strong rubberpetroleum smell unbearable caused return,7
255,poor quality and service,0,4,poor quality service,3
256,the cable looks so thin and flimsy it is scary,0,10,cable looks thin flimsy scary,5
257,great earpiece,1,2,great earpiece,2
258,excellent hands free tool,1,4,excellent hands free tool,4
259,great for using with your home stereo,1,7,great using home stereo,4
260,good product  incredible value,1,4,good product incredible value,4
261,only had this a month but its worked flawlessly so far,1,11,month worked flawlessly far,4
262,works great,1,2,works great,2
263,absolutel junk,0,2,absolutel junk,2
264,that one didnt work either,0,5,one didnt work either,4
265,battery life is real good,1,5,battery life real good,4
266,returned  hours later,0,3,returned hours later,3
267,its a great item,1,4,great item,2
268,dont waste your money,0,4,dont waste money,3
269,love this headset,1,3,love headset,2
270,not only will it drain your player but may also potentially fry it,0,13,drain player may also potentially fry,6
271,worked perfectly,1,2,worked perfectly,2
272,unreliable  im giving up,0,4,unreliable im giving,3
273,i gave it  stars because of the sound quality,1,9,gave stars sound quality,4
274,avoid this one if you can,0,6,avoid one,2
275,reversible plug works great,1,4,reversible plug works great,4
276,i wasted my little money with this earpiece,0,8,wasted little money earpiece,4
277,very good phone,1,3,good phone,2
278,best of all is the rotating feature very helpful,1,9,best rotating feature helpful,4
279,comfort for our whole family,1,5,comfort whole family,3
280,good product good seller,1,4,good product good seller,4
281,i love this bluetooth,1,4,love bluetooth,2
282,first of all it doesnt wear well,0,7,first doesnt wear well,4
283,i am very impressed with this headset from plantronics,1,9,impressed headset plantronics,3
284,i got it because it was so small and adorable,1,10,got small adorable,3
285,great phone,1,2,great phone,2
286,i wouldnt recommend buying this product,0,6,wouldnt recommend buying product,4
287,piece of junk,0,3,piece junk,2
288,poorly contstruct hinge,0,3,poorly contstruct hinge,3
289,this item is great installed it let it charged up overnite and it has been working good every since with no problems,1,22,item great installed let charged overnite working good every since problems,11
290,great phone,1,2,great phone,2
291,dont buy it,0,3,dont buy,2
292,excellent phone,1,2,excellent phone,2
293,do not purchase this phone,0,5,purchase phone,2
294,the voice recognition thru the handset is excellent,1,8,voice recognition thru handset excellent,5
295,this is hands down the best phone ive ever had,1,10,hands best phone ive ever,5
296,works great when my cat attacked the phone he scratched the protective strip instead of destroying the screen,1,18,works great cat attacked phone scratched protective strip instead destroying screen,11
297,this one works and was priced right,1,7,one works priced right,4
298,customer service was terrible,0,4,customer service terrible,3
299,battery life still not long enough in motorola razor vi,0,10,battery life still long enough motorola razor vi,8
300,sending it back,0,3,sending back,2
301,now i know that i made a wise decision,1,9,know made wise decision,4
302,someone shouldve invented this sooner,1,5,someone shouldve invented sooner,4
303,good price,1,2,good price,2
304,everything worked on the first trythe device was certainly engineered in a clever way and the construction feels good,1,19,everything worked first trythe device certainly engineered clever way construction feels good,12
305,i received it quickly and it works great,1,8,received quickly works great,4
306,has been working great,1,4,working great,2
307,as many people complained i found this headsets microphone was very weak,0,12,many people complained found headsets microphone weak,7
308,my year old nokia  from tracfone holds the charge a lot better than this,0,14,year old nokia tracfone holds charge lot better,8
309,they do not care about the consumer one bit,0,9,care consumer one bit,4
310,this is a good battery and it got here really fast,1,11,good battery got really fast,5
311,the instruction manual is lacking,0,5,instruction manual lacking,3
312,also its slim enough to fit into my alarm clock docking station without removing the case,1,16,also slim enough fit alarm clock docking station without removing case,11
313,phone now holds charge like it did when it was new,1,11,phone holds charge like new,5
314,the battery is unreliable as well as the service use antena,0,11,battery unreliable well service use antena,6
315,its uncomfortable and the sound quality is quite poor compared with the phone razr or with my previous wired headset that plugged into an lg,0,25,uncomfortable sound quality quite poor compared phone razr previous wired headset plugged lg,13
316,we have gotten a lot of compliments on it,1,9,gotten lot compliments,3
317,this is definitely a must have if your state does not allow cell phone usage while driving,1,17,definitely must state allow cell phone usage driving,8
318,i want my money back,0,5,want money back,3
319,i love this device,1,4,love device,2
320,i am also very happy with the price,1,8,also happy price,3
321,i ordered this product first and was unhappy with it immediately,0,11,ordered product first unhappy immediately,5
322,the ngage is still lacking in earbuds,0,7,ngage still lacking earbuds,4
323,i was able to do voice dialing in the car with no problem,1,13,able voice dialing car problem,5
324,i have  bars on my cell phone when i am home but you cant not hear anything,0,17,bars cell phone home cant hear anything,7
325,good item low price,1,4,good item low price,4
326,howeverthe riingtones are not the best and neither are the games,0,11,howeverthe riingtones best neither games,5
327,the plug did not work very well,0,7,plug work well,3
328,amazon sucks,0,2,amazon sucks,2
329,rip off over charge shipping,0,5,rip charge shipping,3
330,very comfortable,1,2,comfortable,1
331,the battery is working well as a replacement for the original that came with the phone over  years ago,1,19,battery working well replacement original came phone years ago,9
332,the reception is excellent,1,4,reception excellent,2
333,it fits comfortably in either ear the sound is clear and loud and the charge lasts a couple of days,1,20,fits comfortably either ear sound clear loud charge lasts couple days,11
334,very clear quality sound and you dont have to mess with the sound on your ipod since you have the sound buttons on the headset,1,25,clear quality sound dont mess sound ipod since sound buttons headset,11
335, long lasting battery you dont have to recharge it as frequentyly as some of the flip phones,0,17,long lasting battery dont recharge frequentyly flip phones,8
336,obviously there is a problem with the adhesive,0,8,obviously problem adhesive,3
337,very disappointing,0,2,disappointing,1
338,it was an inexpensive piece but i would still have expected better quality,0,13,inexpensive piece would still expected better quality,7
339,it is practically useless and did not add any kind of boost to my reception after i bought it,0,19,practically useless add kind boost reception bought,7
340,excellent sound quality,1,3,excellent sound quality,3
341,was not happy,0,3,happy,1
342,a piece of junk that broke after being on my phone for  days,0,13,piece junk broke phone days,5
343,new battery works great in phone,1,6,new battery works great phone,5
344,worst customer service,0,3,worst customer service,3
345,ive dropped my phone more times than i can say even on concrete and my phone is still great knock on wood,1,22,ive dropped phone times say even concrete phone still great knock wood,12
346,reception is terrible and full of static,0,7,reception terrible full static,4
347,good audio quality,1,3,good audio quality,3
348,this little device has transformed my organizational capability and made my life a whole lot easier,1,16,little device transformed organizational capability made life whole lot easier,10
349,i was sitting in my vehicle with the cradle on my belt and the headset lost signal,0,17,sitting vehicle cradle belt headset lost signal,7
350,were jerks on the phone,0,5,jerks phone,2
351,works like a charm works as advertised,1,7,works like charm works advertised,5
352,comfortable nice range good battery life,1,6,comfortable nice range good battery life,6
353,their network coverage in los angeles is horrible,0,8,network coverage los angeles horrible,5
354,excellent starter wireless headset,0,4,excellent starter wireless headset,4
355,the loudspeaker option is great the bumpers with the lights is very  appealing,0,13,loudspeaker option great bumpers lights appealing,6
356,the only thing that i think could improve is the sound leaks out from the headset,0,16,thing think could improve sound leaks headset,7
357,first off the reception sucks i have never had more than  bars ever,0,13,first reception sucks never bars ever,6
358,the phone gets extremely hot,0,5,phone gets extremely hot,4
359,the microphone also works well but according to people i have called it applifies everything,1,15,microphone also works well according people called applifies everything,9
360,nice design and quality,1,4,nice design quality,3
361,also if your phone is dropped this case is not going to save it specially when dropped face down,0,19,also phone dropped case going save specially dropped face,9
362,it is light easy to use and has very clear reception and transmission,1,13,light easy use clear reception transmission,6
363,bad fit way too big,0,5,bad fit way big,4
364,it definitely was not as good as my s,1,9,definitely good,2
365,awesome device,1,2,awesome device,2
366,waste of money,0,3,waste money,2
367,i had ordered a motorola data cable got a very well finished and working product,1,15,ordered motorola data cable got well finished working product,9
368,love this phone,1,3,love phone,2
369,i was looking for this headset for a long time and now that ive got it i couldnt be happier,1,20,looking headset long time ive got couldnt happier,8
370,ill be drivng along and my headset starts ringing for no reason,0,12,ill drivng along headset starts ringing reason,7
371,display is excellent and camera is as good as any from that year,1,13,display excellent camera good year,5
372,battery life is also great,1,5,battery life also great,4
373,the worst phone ive ever had only had it for a few months,0,13,worst phone ive ever months,5
374,not a good item it worked for a while then started having problems in my auto reverse tape player,0,19,good item worked started problems auto reverse tape player,9
375,this is so embarassing and also my ears hurt if i try to push the ear plug into my ear,0,20,embarassing also ears hurt try push ear plug ear,9
376,protects the phone on all sides,1,6,protects phone sides,3
377,this is a very average phone with bad battery life that operates on a weak network,0,16,average phone bad battery life operates weak network,8
378,clear skype calls long battery life long range,1,8,clear skype calls long battery life long range,8
379,soyo technology sucks,0,3,soyo technology sucks,3
380,great hands free device,1,4,great hands free device,4
381,you can even take self portraits with the outside exterior display very cool,1,13,even take self portraits outside exterior display cool,8
382,same problem as others have mentioned,0,6,problem others mentioned,3
383,after trying many many handsfree gadgets this is the one that finally works well,1,14,trying many many handsfree gadgets one finally works well,9
384,magical help,1,2,magical help,2
385,the worst piece of crap ever along with the verizon customer service,0,12,worst piece crap ever along verizon customer service,8
386,poor sound quality,0,3,poor sound quality,3
387,the best phone in market ,1,5,best phone market,3
388,it worked very well,1,4,worked well,2
389,the company shipped my product very promptly and it works well,1,11,company shipped product promptly works well,6
390,exactly what i wanted,1,4,exactly wanted,2
391,the picture resolution is far below what other comparablypriced phones are offering today,0,13,picture resolution far comparablypriced phones offering today,7
392,this is a great deal,1,5,great deal,2
393,excellent product i am very satisfied with the purchase,1,9,excellent product satisfied purchase,4
394,i highly recommend these and encourage people to give them a try,1,12,highly recommend encourage people give try,6
395,better than youd expect,1,4,better youd expect,3
396,using all earpieces left or right this thing will not stay on my ear,0,14,using earpieces left right thing stay ear,7
397,great product and price,1,4,great product price,3
398,sounds good reasonably priced and effective its that simple ,1,9,sounds good reasonably priced effective simple,6
399,still waiting im sure this item would work well if i ever recieve it,0,14,still waiting im sure item would work well ever recieve,10
400,what a disappointment,0,3,disappointment,1
401,very prompt service,1,3,prompt service,2
402,excellent product for the price,1,5,excellent product price,3
403,very pleased with this headset,1,5,pleased headset,2
404,dont waste your money and time,0,6,dont waste money time,4
405,i especially love the long battery life,1,7,especially love long battery life,5
